orgaoId:ID(Orgao),id_origem,desc,:LABEL
68e426462bf8f7245770b9007936cd4cde69880d1eeb32fb48e48b57ced2e46a,25915,FUNDO CONSTITUCIONAL DO DISTRITO FEDERAL,Orgao
a534b11d351847974ccafdccb7df6db532e15bfaae2935a47e4086547173950d,30912,FUNDO NACIONAL ANTIDROGAS,Orgao
c7f7deace6b2f54a711d30e6eca022d533e5ed0b776aa99ad73891b80ed22afd,26443,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,Orgao
436d3442157be313c5f1180ff24b3bb4505c87ccfa91c0e4d77f1a680b893853,44208,SERVICO FLORESTAL BRASILEIRO,Orgao
2850e79f95527e98f13aa2db2384dec13a4ead1cf046aee7847490f4941176fc,26424,INST.FED.DE EDUC.CIENC.E TEC.DO TOCANTINS,Orgao
68639158e240d097d1c388c24902259890e1ed945972843ab3fd0c0b07d31a15,26242,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Orgao
70504b4a59ee0b304188263b09f7e3f4ab596959e84635899073f835710edb02,26243,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Orgao
5e0fb3d4dfa051a7dbaef061518950db014d6377c09b741d506fd7902f65f92c,26280,FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,Orgao
2835e12878e59cabfbdea65bae5757203de1fb65842337630d627b98d24c43e7,26247,UNIVERSIDADE FEDERAL DE SANTA MARIA,Orgao
998187c631931df238d978b27754fc1fd20aa65be2f5754ba5cec175576d3c95,26235,UNIVERSIDADE FEDERAL DE GOIAS,Orgao
5468b20ee6e2b46865ae92b310e86c4d336203ef68bc8eff83cac644fe4e976d,20701,INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.,Orgao
2c17cc5e6ecb873e8b293ba9ed8de5b80d8b8aae2c1fbcc9bbe2e95864468868,52111,COMANDO DA AERONAUTICA,Orgao
03549c864ed35ef1c02f4f4263b2ca2aae53e374b277f763d5d635c9f8fc9549,26257,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MG,Orgao
e80d6565ed519606d0747612f8e59579d3983484be0ef6449a07b776d8b5135e,26431,INST.FED.DE EDUC.CIENC.E TEC.DO PIAUI,Orgao
eb371248a37142f9962c55b52060421f39f7948de49eb31221eec7bcb3ba8ad9,36201,FUNDACAO OSWALDO CRUZ,Orgao
9c3e51831284cc259b193f406f8a6b99619df4784bbb8346b01707bc98105d57,37000,MINISTERIO DA TRANSPARENCIA E CGU - UNIDADES COM VÍNCULO DIRETO,Orgao
bb86e80b0aba47af5df615faeaa9bc9534d54d869a320519c99d8282f8aab875,26246,UNIVERSIDADE FEDERAL DE SANTA CATARINA,Orgao
b0a909d2a04543084f5d176767da7777a79f1c4b09e5d9d8970827eda7c22cfc,26248,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,Orgao
0ab9d24cf417c305407c78fa01728f0ae0a73dc36cddc371b1ccfb39eb0c1db8,26415,INST.FED.DE EDUC.CIENC.E TEC.DO MAT.G.DO SUL,Orgao
afa7904ca2adb104c9603a51ae357dd57c1419dca598dd009ccf244af7ce6eae,25000,MINISTERIO DA FAZENDA - UNIDADES COM VÍNCULO DIRETO,Orgao
45bbf218b757277113f57791034d29eaf2f66403ab3c5a3af397cfe01e48df7d,20202,FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA,Orgao
3bb2f7822a4ae9d352f2c261fc5cc906773b4fc3b2aebd58c5895880d104dcd8,29208,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,Orgao
554eea647b9f997cedc77b6a4e0e4cc2f58b5dd24fa89ee46afe70c8ac8010ea,26421,INST.FED.DE EDUC.CIENC.E TEC.DE RONDONIA,Orgao
0490038fb5341823d8e9e44729d04ddc5858de3cfa0ef5588472d1c46db8c41c,36210,HOSPITAL NOSSA SENHORA DA CONCEICAO S/A,Orgao
af7ea8c0315b3b732c833159f5cbf2b638650d8723944ae8e2c22b53b3061912,20101,PRESIDENCIA DA REPUBLICA,Orgao
92b5036892d79b2a131b8eb273f4f4e4c62bf88890e8de8cf02a745b4667b1e5,20402,AGENCIA ESPACIAL BRASILEIRA - AEB,Orgao
2d6cec0ac9e7cf4ed6512fc6abab156aa9d106430f8b14076d04a05b3690cc93,22202,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,Orgao
f4fcd46a2023c0752960ec29d05e9e91673b740439a68a06274ddc59b7a1785d,52221,INDUSTRIA DE MATERIAL BELICO DO BRASIL,Orgao
0199ee176358a12f60e2db2f1ee7decb716015c55fb5d5604c4697fb02436291,53203,SUPERINTENDENCIA DO DESENVOLV. DO NORDESTE,Orgao
9b5fdff834345fc823b34ee853fabfad6269f6c21bd232a7a115d45085120d12,38000,MINISTERIO DO TRABALHO E EMPREGO - UNIDADES COM VÍNCULO DIRETO,Orgao
2a1d6e03b1de6c3c8b1dfc3ca14a2af355a2acff3cde423b5f1bddb060ddd4bc,55000,MINISTERIO DO DESENVOLVIMENTO SOCIAL - UNIDADES COM VÍNCULO DIRETO,Orgao
6255475c217e5b03b9d47263a97bcab7db7f5f1fb815b10408d85f0d29667b79,20501,CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO,Orgao
b9475de5915148892ed2ddb2ff07c9118ebd7addebd80273e6e137c2a0e1ba6e,30108,DEPARTAMENTO DE POLICIA FEDERAL,Orgao
1d6551ceff12cf93ca0c6a4e3704eb68d35b7fd1ca393583e0cc276a1957751b,36212,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,Orgao
c04587e6774a6941d31f3d91ff2bb57b2dd69af567ac4d194cad2ba1942af1e6,62201,AGENCIA NACIONAL DE AVIACAO CIVIL,Orgao
bfdf7150ab36cea644ef79b49bfb9e4ee92c49056769d7dc589aedd4b7191811,26406,INST.FED.DE EDUC.CIENC.E TEC.DO ESP.SANTO,Orgao
b311991be189e8fbd1a120417b2c31d17026f6b903e85e8396e7bbff8713be24,26263,UNIVERSIDADE FEDERAL DE LAVRAS,Orgao
5885143cc4238a6fc0104f6e022ddf0f2db5d4daecc947851879dc9bd56c5b9e,26231,UNIVERSIDADE FEDERAL DE ALAGOAS,Orgao
ac1ef2e418b38ef628f2dd9b2ae25c8a9d838f9a0db0ef907b2d76406e67dc15,44205,AGENCIA NACIONAL DE AGUAS,Orgao
c6b7f5e5f2c882615e1f007a8b6d5335e1195bf3fd82344b708de34d2baba01f,20301,COMISSAO NACIONAL DE ENERGIA NUCLEAR,Orgao
11955df008effb70b3a506fc9dc3b6d3a0931f9d066efb0852b2aea53c066e9c,30203,INSTIT.NAC. DE METROLOG. QUALID. E TECNOLOGIA,Orgao
bf02f242ec196aa7f8ff88ecb6df0c93c75d7a072b6d89be0c8a73f29720afde,52904,FUNDO DO EXERCITO,Orgao
607434226c35f8bf16edb7ae2e7c61ebb514dbc567d7546865c15653038a6e75,53000,MINISTERIO DA INTEGRACAO NACIONAL - UNIDADES COM VÍNCULO DIRETO,Orgao
e61c5970bf967f7c20f164a747c9dcc32e5d0f17b248c50eac8ba22007b79563,30907,FUNDO PENITENCIARIO NACIONAL,Orgao
8c7d35cbaf50bab10ac20b0c6d020ab828e1f660f1fe5ad013a67cc5643062d5,52000,MINISTERIO DA DEFESA - UNIDADES COM VÍNCULO DIRETO,Orgao
f4c86f9a1dc7590d737bf98270f060df5734d46a25fbd32ea17acd5c732e9838,22211,COMPANHIA NACIONAL DE ABASTECIMENTO,Orgao
1b04bf550116470468aed5e796c0f83d95e7d494284ec3cbffc79482a5b0b94b,26419,INST.FED.DE EDUC.CIENC.E TEC.DO RS,Orgao
b62f0b3da7c759cacb54dd83401f3f8c0a56d24028f6c7661b2b345b9a406246,26284,FUN.UNIV.FED.DE CIENCIAS DA SAUDE DE P.ALEGRE,Orgao
79aa4225e90e6b4c55a45b365792e28f1a242901f51ecbc456a7901fe20b048a,22204,DEPARTAMENTO NAC.DE OBRAS CONTRA AS SECAS,Orgao
4211191b673302e02a28bac25f6a594380e47ec30cb9375359e72b3adf342420,20603,SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS,Orgao
c566a30616de21a140df36a02c86798f71b3533430c3060749b449486c8f2dce,22201,INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA,Orgao
b7cff9d26362623eea214b7f57613760548436d4e9d3ead35d4d1afcd2f22135,36000,MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO,Orgao
5ce445ea11af7a3c68787ef4385844ac13ad778ebdf351b0cd14c48f90759024,53207,SUPERINT. DE DESENVOLVIMENTO DO CENTRO-OESTE,Orgao
d04acb1fd6b68f1fd4a01c94534b0a20ff40ebb6b42d0e4185ae3ef5f24ce636,26403,INST.FED.DE EDUC.CIENC.E TEC.DO AMAZONAS,Orgao
59a18cd07abdcd20bac033c8418da09b7145303f895bccd45865c06ac006afc8,26427,INST.FED.DE EDUC.CIENC.E TEC.DA BAHIA,Orgao
c4d0ea79a8f99ecd480328fad43e5d8455780318d2b88126241f18383cfc0eb2,44207,INST.CHICO MENDES DE CONSER.DA BIODIVERSIDADE,Orgao
e68f07eee91ef3f8507138b52c23966bf767883aa60b17fc1e635fd0c7c7bc4b,20412,FUNDACAO NACIONAL DE ARTES,Orgao
8d6f6b32b3d3d9e8d0c892270963413ec4fe2578ed0f2e3137b35b7c6c3b3df9,26408,INST.FED.DE EDUC.CIENC.E TEC.DO MARANHAO,Orgao
a79376e07da06ca1e6fbf0742a069fddba199df3115e729b6f3b62cdf328cbcc,42000,MINISTERIO DA CULTURA - UNIDADES COM VÍNCULO DIRETO,Orgao
2d35a88fe14db4df2b19189131c3c79bdbf2663ab3c45f1e8bc367b653ca411d,20203,AGENCIA NACIONAL DO CINEMA,Orgao
7a11faec64dd1d32448ef8407572c7db1bb949e2ac01b4da8ac7f3d12ed7242b,26278,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,Orgao
3e0e46215233d79c4562eff1a97e51b97011d73d2c41f073aa0f6e82e4a092ea,37202,INSTITUTO NACIONAL DO SEGURO SOCIAL,Orgao
197be10a93eebb3dfa8eedab945e431a62331597191ccb5c9205e59600e16095,26260,UNIVERSIDADE FEDERAL DE ALFENAS,Orgao
b280bee9123796e0cfa0c24eda87c831f7eb21333d96aeb0037f6be428dff3cc,25205,FUND.INST.BRASILEIRO DE GEOG.E ESTATISTICA,Orgao
1c6a4b0142c2dfb468d852722b1851d0bb40d24a69355d791a4cbf3bda941fb2,26418,INST.FED.DE EDUC.CIENC.E TEC.DE PERNAMBUCO,Orgao
0a1a6954417abc3e9f29959373e1630cc52a5fab5a91837d3fc92be512fd5645,39000,MINIST.DOS TRANSP.PORTOS E AVIACAO CIVIL - UNIDADES COM VÍNCULO DIRETO,Orgao
5c468b911a8de3dc18f652a64464d576b88077dc453a5c2ca5db93c26b82c539,44000,MINISTERIO DO MEIO AMBIENTE - UNIDADES COM VÍNCULO DIRETO,Orgao
a7bb71a3c6ce94d9f0159f93ff0e1917eebb4fd29107b071ebc69f145e74c7fd,52121,COMANDO DO EXERCITO,Orgao
ff63472b842684908ca432ef0d0564bdf17a195d0f13eeeb18d0f19d28bd5101,30802,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL/MJ,Orgao
d6528154fb55f54f7a1e50f2d1f9eb034a4104c84b39e63b797f8e4cf1616568,26258,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,Orgao
fd91439883fe89eb61326f33a4e870503da3edee464aec2e7de0f2bf88a4e857,25203,COMISSAO DE VALORES MOBILIARIOS,Orgao
e6a898d5facae9593779d6dfd1736bfedbf1336018f46338a83f29a545f33451,63000,ADVOCACIA-GERAL DA UNIAO - UNIDADES COM VÍNCULO DIRETO,Orgao
d4fa042e49fdb0400d0f6c8da621b6d8ce496cf62846f1e612b21d91bb42581a,53202,SUPERINTEND. DO DESENVOLVIMENTO DA AMAZONIA,Orgao
e1dea1f7806b309ab41e8184f504082ed7a48ecee11799d88ac975fbaacbae8a,26267,UNIVERS. FEDERAL DA INTEG. LATINO AMERICANA,Orgao
4c7170a8fa03d0893c0e1ca1f0752abeb781b718c69510ce4053a86c150c9900,26277,UNIVERSIDADE FEDERAL DE OURO PRETO,Orgao
6d8551cc84f37e6923c2957e538411030f6ea09252386a34590b9456ab84f114,32263,DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL,Orgao
b5770cb509da72b451fe79ca18d25989d95a276d4189f91426ee82525a3607a8,26411,INST.FED.DE EDUC.CIENC.E TEC.DO SUDESTE MG,Orgao
c07076c346a7d99ee50fb5912e8b7b0d333d1924e861bd5fd26028f5099a9790,42207,INSTITUTO BRASILEIRO DE MUSEUS,Orgao
8baab708424a11af496d2599b634b38eefbe50cec9f4021e4f5adcc4fa54502f,20415,EMPRESA BRASIL DE COMUNICACãO S.A.-EBC,Orgao
5287d9a9680723b3a5aaf3bdfe9346dde720d4bdde5b128a1385a7ee4ec452ee,30000,MINISTERIO DA JUSTICA E SEGURANçA PUBLICA - UNIDADES COM VÍNCULO DIRETO,Orgao
8b26d65642ce2ed6e89a7721a3353de6512ef1ac7f3d04f1732400f17deea075,20408,FUNDACAO CULTURAL PALMARES,Orgao
8c144014c3102c427cea913f0930afb0cbf63c0c747596d42b7998780058f314,26254,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,Orgao
41cf7829de7b7f58d45f1481c13a19135dcee8cb048db5bc5db234f8df70c56b,24208,INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO-ITI,Orgao
3a4e2ec55e5cf7783a7fb32b523f7d1f0280df32132cb044ff4344727b10815c,38901,FUNDO DE AMPARO AO TRABALHADOR,Orgao
648a6e41468932992e6fbc137f49806cbd9f1ce8b35a9783c0cf8c55a0b6a1d9,22203,CIA.DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,Orgao
dadfde75b9a03a555acab59f97f1461cbff2c016dab677dcc5f24e34d07d2722,26409,INST.FED.DE EDUC.CIENC.E TEC.DE MINAS GERAIS,Orgao
9f02670b9dc9b7aa0d8702ef4a4f6fb7568f8c26f3c3a9192fd87e6501c26c04,26404,INST.FED.DE EDUC.CIENC.E TEC.BAIANO,Orgao
c87c15427482baedd23457b27dd570e065dfe6c27d4daf988068c38df33ef831,24000,MINIST.DA CIENCIATECNOL.INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO,Orgao
211a494f0ccff5d89695e5e4222ca492f4fa267400719f9b582e5bdd28aec372,32000,MINISTERIO DE MINAS E ENERGIA - UNIDADES COM VÍNCULO DIRETO,Orgao
5bcd74976c371077ebfdb34185f1428915ba1c3d8b374b3b65838b9fe4b30c55,26407,INST.FED.DE EDUC.CIENC.E TEC.GOIANO,Orgao
48e27e2b1eba9e238259a17463417a81bf8f5c38c83caabf0c2cdd022f017ee2,36211,FUNDACAO NACIONAL DE SAUDE,Orgao
